Wall time,Step,Value
1512674430.1558075,5,2.435818910598755
1512674465.3944619,10,0.26524364948272705
1512674542.1936905,15,4.47011137008667
1512674620.5067694,20,1.6612211465835571
1512674700.1660874,25,4.58909273147583
1512674787.1346169,30,7.528525352478027
1512674865.5691164,35,4.523981094360352
1512675002.2502906,40,9.496565818786621
1512675053.976123,45,2.6619694232940674
1512675147.5992484,50,5.605058670043945
1512675224.7619069,55,4.763979911804199
1512675293.7510614,60,5.424742221832275
1512675374.794567,65,3.047030210494995
1512675435.5939326,70,5.620409965515137
1512675533.9480317,75,6.965883255004883
1512675647.9928048,80,9.319655418395996
1512675733.8408234,85,5.337692737579346
1512675844.2670312,90,6.452576637268066
1512675946.5295992,95,6.6619672775268555
1512676068.3057303,100,7.296638488769531
1512676178.9242086,105,9.178001403808594
1512676297.5127935,110,10.726271629333496
1512676376.5616663,115,5.446707725524902
1512676481.8532188,120,8.760927200317383
1512676616.2854202,125,9.928580284118652
1512676742.551903,130,9.454100608825684
1512676875.6851475,135,13.12332534790039
1512676957.3014755,140,6.891305446624756
1512677069.9656088,145,12.126763343811035
1512677198.570309,150,13.085405349731445
1512677360.7960634,155,13.54241943359375
1512677461.6976516,160,9.303548812866211
1512677612.0907533,165,14.936455726623535
1512677757.504425,170,13.675374031066895
1512677832.9281316,175,7.526757717132568
1512677954.8567138,180,12.82130241394043
1512678037.0258038,185,7.882570266723633
1512678145.8061109,190,10.54927921295166
1512678271.1598587,195,12.278443336486816
1512678406.9926336,200,13.05322265625
1512678537.2464123,205,12.101346969604492
1512678784.8067524,215,10.8092622756958
1512678888.9453902,220,10.008727073669434
1512679043.3962524,225,16.08944320678711
1512679163.324233,230,12.46219253540039
1512679330.1009746,235,17.74152374267578
1512679451.4626536,240,13.172335624694824
1512679601.2509413,245,17.048683166503906
1512679739.6186173,250,15.533828735351562
1512679884.5162086,255,16.445659637451172
1512680032.907586,260,15.133665084838867
1512680115.411833,265,8.519658088684082
1512680256.133642,270,14.897747993469238
1512680421.6576128,275,20.299551010131836
1512680553.6109002,280,15.22616195678711
1512680703.829166,285,17.53057289123535
1512680851.3716588,290,14.652823448181152
1512681003.873506,295,18.8389835357666
1512681146.6668024,300,16.514894485473633
1512681278.6505241,305,17.28120994567871
1512681416.133449,310,14.816155433654785
1512681542.4689243,315,13.094985961914062
1512681684.9406266,320,16.94053077697754
1512681793.5974987,325,11.67728328704834
1512681927.9169254,330,16.110328674316406
1512682086.753202,335,18.628870010375977
1512682250.380832,340,19.224376678466797
1512682413.6954215,345,22.901870727539062
