Wall time,Step,Value
1512586903.592892,20,5.599999904632568
1512587184.408296,30,12.600000381469727
1512587279.5467463,35,5.199999809265137
1512587606.1016622,45,16.399999618530273
1512587912.4943871,55,14.199999809265137
1512588045.170521,60,15.199999809265137
1512588200.7952714,65,16.600000381469727
1512588349.5255685,70,13.399999618530273
1512588504.9155571,75,15.0
1512588661.1742203,80,16.799999237060547
1512588815.6465638,85,15.199999809265137
1512588957.4818444,90,13.800000190734863
1512589108.4337275,95,15.0
1512589264.7703698,100,18.399999618530273
1512589421.5304983,105,19.399999618530273
1512589733.6319842,115,19.600000381469727
1512590032.7308633,125,14.199999809265137
1512590178.3490007,130,11.399999618530273
1512590954.296596,155,16.0
1512591110.7228885,160,17.399999618530273
1512591266.7566288,165,10.800000190734863
1512591422.6110523,170,15.399999618530273
1512591579.8049552,175,14.0
1512591877.8102214,185,14.800000190734863
1512592326.783615,200,11.600000381469727
1512592461.457027,205,9.600000381469727
1512592762.6824677,215,17.600000381469727
1512592919.6758735,220,15.0
1512593076.7342677,225,16.0
1512593217.9365473,230,17.399999618530273
1512593503.5928416,240,12.0
1512593798.9613323,250,14.600000381469727
1512593953.2953107,255,18.399999618530273
1512594409.1964347,270,15.199999809265137
1512594563.8570974,275,17.799999237060547
1512594718.829721,280,17.799999237060547
1512594875.6463952,285,20.200000762939453
1512595032.7107856,290,13.600000381469727
1512595500.8896923,305,18.600000381469727
1512595659.3012342,310,17.399999618530273
1512595972.7256331,320,14.800000190734863
1512596122.118396,325,7.0
1512596265.0414948,330,12.399999618530273
1512596421.2318854,335,16.399999618530273
1512596578.436669,340,15.600000381469727
1512596734.0060837,345,14.199999809265137
1512596889.563469,350,18.600000381469727
1512597192.3641748,360,14.600000381469727
1512597347.5294287,365,18.799999237060547
1512597502.8937607,370,17.600000381469727
1512597650.4897091,375,19.399999618530273
1512597950.5254362,385,12.399999618530273
1512598262.5569992,395,15.0
1512598416.3700385,400,15.800000190734863
1512598704.6160622,410,16.799999237060547
1512598860.6569505,415,10.800000190734863
1512599150.6488721,425,13.800000190734863
1512599299.5493703,430,15.800000190734863
1512599453.6075263,435,15.0
1512599610.6289644,440,16.0
1512599744.4465344,445,11.0
1512599900.6378105,450,10.600000381469727
1512600212.3291507,460,14.199999809265137
1512600366.3526857,465,14.800000190734863
1512600520.9563901,470,16.799999237060547
1512600675.8069358,475,12.399999618530273
1512601445.9293454,500,15.800000190734863
1512601602.2049608,505,10.399999618530273
1512601899.7770894,515,14.800000190734863
1512602190.719901,525,10.399999618530273
1512602331.6833594,530,4.599999904632568
1512602485.6522207,535,16.200000762939453
1512603517.9705884,570,8.800000190734863
1512603973.1117482,585,13.800000190734863
1512604271.194834,595,15.199999809265137
1512604426.5094588,600,16.0
1512604581.484498,605,15.399999618530273
1512605195.3633783,625,10.0
1512605350.145268,630,4.599999904632568
1512605504.3465712,635,14.199999809265137
1512605658.176431,640,12.800000190734863
1512605967.3896132,650,17.399999618530273
1512606107.2269611,655,11.399999618530273
1512606552.5847454,670,15.600000381469727
1512606992.2400308,685,11.199999809265137
1512607148.422789,690,13.800000190734863
1512607440.955973,700,16.0
1512607707.2833843,710,13.800000190734863
1512607862.3440824,715,6.599999904632568
1512608017.4982803,720,14.0
1512608159.268097,725,8.600000381469727
1512608297.2375286,730,11.600000381469727
1512608420.051605,735,8.800000190734863
1512608729.9937797,745,13.0
1512608877.1945481,750,8.0
1512609012.2760248,755,6.400000095367432
1512609327.0469694,770,8.800000190734863
1512609466.7175505,775,13.199999809265137
1512609588.2665236,780,13.199999809265137
1512609866.5252879,790,7.0
1512610015.6599452,795,16.200000762939453
1512610172.6170123,800,14.199999809265137
1512610479.6396167,810,13.199999809265137
1512610632.8586981,815,13.600000381469727
1512610935.1903176,825,15.600000381469727
1512611078.7934673,830,14.0
1512611390.218343,840,16.0
1512611520.1636755,845,10.800000190734863
1512611674.8436103,850,10.399999618530273
1512611966.8425093,860,9.600000381469727
1512612590.0583363,880,14.800000190734863
1512612738.2232275,885,13.0
1512612892.801317,890,9.800000190734863
1512613048.8052297,895,16.600000381469727
1512613358.2125578,905,15.399999618530273
1512613496.50491,910,16.0
1512613809.046577,920,16.600000381469727
1512614081.5558727,930,9.600000381469727
1512614238.146136,935,16.600000381469727
1512614393.347171,940,18.0
1512614546.815089,945,11.399999618530273
1512614860.5291884,955,10.0
1512615016.7425308,960,14.600000381469727
1512616078.141746,995,0.0
1512616697.2791433,1015,4.0
1512617159.5049622,1030,13.199999809265137
1512617316.6213984,1035,15.199999809265137
1512617471.7617834,1040,12.600000381469727
1512617626.4259815,1045,19.0
1512618250.415039,1065,16.200000762939453
1512618383.9852633,1070,12.600000381469727
1512618540.821872,1075,14.800000190734863
1512618696.068938,1080,18.200000762939453
1512619111.490998,1095,13.600000381469727
1512619268.0281198,1100,10.0
1512619424.2482505,1105,18.600000381469727
1512619581.3566706,1110,18.600000381469727
1512619735.8999279,1115,18.799999237060547
1512619891.2859786,1120,17.399999618530273
1512620203.7385097,1130,10.800000190734863
1512620340.5057995,1135,14.0
1512620494.1465895,1140,18.0
1512620808.095587,1150,15.600000381469727
1512620963.048695,1155,20.600000381469727
1512621119.2425582,1160,15.600000381469727
1512621274.1132298,1165,17.200000762939453
1512621429.6925554,1170,12.399999618530273
1512621585.9179797,1175,18.0
1512622043.231868,1190,10.0
1512622198.0596485,1195,18.0
1512622507.866118,1205,18.799999237060547
1512623108.86409,1225,10.600000381469727
1512623264.266464,1230,15.800000190734863
1512623575.0908327,1240,16.200000762939453
1512623695.367814,1245,12.0
1512623853.6469615,1250,11.399999618530273
1512623989.3820806,1255,14.800000190734863
1512624145.213386,1260,18.200000762939453
1512624302.1724222,1265,20.399999618530273
1512624768.427929,1280,17.799999237060547
1512625271.8504355,1295,18.0
1512625427.6751444,1300,15.800000190734863
1512625582.954295,1305,20.600000381469727
1512625722.3412356,1310,15.800000190734863
1512626031.1939313,1320,17.799999237060547
1512626641.7621398,1340,19.600000381469727
1512626951.7166562,1350,19.399999618530273
1512627261.4957416,1360,19.0
1512627416.760987,1365,20.200000762939453
1512627571.2896574,1370,20.0
1512627725.8922832,1375,17.399999618530273
1512627881.1950166,1380,18.200000762939453
1512628195.3278806,1390,15.600000381469727
1512628331.8004875,1395,15.800000190734863
1512628643.3762455,1405,17.600000381469727
1512628956.5907845,1415,20.399999618530273
1512629270.8246608,1425,21.0
1512630046.9877481,1450,18.200000762939453
1512630343.1511502,1460,18.0
1512630499.0822282,1465,20.600000381469727
1512630808.3442423,1475,19.399999618530273
1512630964.945387,1480,19.399999618530273
1512631120.1292305,1485,11.800000190734863
1512631267.0645752,1490,17.799999237060547
1512631420.7480958,1495,18.600000381469727
1512631577.4668837,1500,18.0
1512631734.037859,1505,19.0
1512631890.7570596,1510,16.799999237060547
1512632044.6387322,1515,13.0
1512632170.8680575,1520,18.200000762939453
1512632792.1121993,1540,19.0
1512632948.964867,1545,19.0
1512633249.8620563,1555,18.200000762939453
1512633716.4715328,1570,19.399999618530273
1512634339.0269635,1590,19.399999618530273
1512634494.824696,1595,19.399999618530273
1512634644.9469845,1600,17.600000381469727
1512634794.312853,1605,17.399999618530273
1512635108.4570017,1615,20.799999237060547
1512635263.1626687,1620,20.200000762939453
1512635421.0749242,1625,21.0
1512635575.2217686,1630,21.200000762939453
1512635730.0091655,1635,18.399999618530273
